"קובץ","אינדקס","מקור","תרגום","הערות"
"0.0","string_1","Roger Wilco","רוג'ר ווילקו",""
"0.0","string_2","It's you, Roger Wilco, janitor sub-extraordinaire.","זה אתה, רוג'ר ווילקו, מנקה תת-מעולה.",""
"0.0","string_3","This is your brain take-out container.","זה מיכל הוצאת המוח שלך.",""
"0.0","string_15","","",""
"0.0","string_16_offset_1","x.yyy","",""
"0.0","string_17","Let me out of here!
 (Quit)","תוציאו אותי מכאן!\n(צא)",""
"0.0","string_18","I don't know WHAT
 I was thinking.
 Let's Play!","אני לא יודע *מה*\nאני חשבתי.\nבואו נשחק!",""
"0.0","string_19","Of course I'm sure!","ברור שאני בטוח!",""
"0.0","string_20","Changed My Mind.
 Let's Play!","שיניתי את דעתי.\nבואו נשחק!",""
"0.0","string_21","Who cares","למי אכפת",""
"0.0","string_22","Debug","דיבאג",""
"0.0","string_26","Select this Icon to close this window.","בחר בסמליל הזה כדי לסגור את החלון.",""
"0.0","string_28","Select this Icon then select an inventory item you'd like a description of.","בחר בסמליל הזה ואז בחר פריט מהמלאי שאתה רוצה תיאור שלו.",""
"0.0","string_30","This allows you to do something to an item.","זה מאפשר לך לעשות משהו לפריט.",""
"0.0","string_33","This allows you to select an item.","זה מאפשר לך לבחור פריט.",""
"0.0","string_37","It's a cartridge from the Arcada's Data Archive.","זו מחסנית מארכיב המידע של הארקדה.",""
"0.0","string_38","This keycard fits an electronic lock someplace on the Arcada.","הכרטיס הזה מתאים למנעול אלקטרוני איפשהו בארקדה.",""
"0.0","string_41","This is some sort of gadget. You're not sure what it does exactly, but it has a switch.","זה סוג של אביזר. אתה לא בטוח מה בדיוק זה עושה, אבל יש לזה מתג.",""
"0.0","string_43","It's the cone shaped tip of a stalagmite.","זה הקצה החרוטי של זקיף.",""
"0.0","string_45","A Survival Kit","ערכת הישרדות",""
"0.0","string_47","It's a Xenon Army knife","זה אולר צבא קסנוני",""
"0.0","string_49","The can label says ""Pelvitron Dehydrated Water (H2) - All you add is air! Makes 10 gallons! Caution - Do not attempt to open or rupture container! Misuse could result in personal injury and/or flash flooding.""","על התווית של הפחית כתוב ""פלוויטרון מים מיובשים - נשאר רק להוסיף אוויר! טוב ל-40 ליטר! זהירות - אל תנסה לפתוח או לקרוע את המיכל! שימוש לקוי עלול להסתיים בפציעה ו/או הצפה פתאומית.""",""
"0.0","string_51","It's that highly reflective piece of broken cockpit glass.","זה החלק השקוף מאוד של זכוכית תא הטייס השבורה.",""
"0.0","string_53","This cute little item is an Orat part - you're not sure what part though.","הפריט הקטן והחמוד הזה הוא חלק של אורט - אבל אתה לא בטוח איזה חלק.",""
"0.0","string_55","This key operates the skimmer.","המפתח הזה מפעיל את הרחפת.",""
"0.0","string_57",".","",""
"0.0","string_58","s.","",""
"0.0","string_60","Ummm! Keronian Ale!","מממ! שיכר קרוניאני!",""
"0.0","string_62","This is a used jetpack. Real used.","זה תרמיל ריחוף משומש. ממש משומש.",""
"0.0","string_64","It's a pulseray laser pistol. Remember, this isn't a play toy!","זה אקדח קרן-פעימת לייזר. זכור, זה אינו צעצוע משחק!",""
"0.0","string_66","You have a small innocuous looking grenade.","יש לך רימון קטן ולא מזיק למראה.",""
"0.0","string_68","This is a small single function remote control.","זה שלט רחוק קטן בעל פעולה יחידה.",""
"0.0","string_70","It's a genuine Widget. You're not sure what it does but it's heavy, it looks cool, and it might be magnetic. Please keep this away from the game disks!","זה ווידג'ט מקורי. אתה לא בטוח מה זה עושה אבל זה כבד, נראה מגניב, ועשוי להיות מגנטי. בבקשה שמור על זה רחוק מהדיסקים של המשחק!",""
"0.0","string_72","This is simply a piece of sticky, stinking, rotting, plant","זאת פשוט חתיכה דביקה, מסריחה, רקובה של צמח.",""
"0.0","string_74","Hey kids! This bar coupon is good for 5 bucakzoids and a free Keronian Ale!","היי ילדים! השובר הזה לבר טוב ל-5 זוזונים ושיכר קרוניאני חינם!",""
"0.0","string_76","This coupon gives you a 20% discount at a Droids-B-Us near you! How helpful! Those suckers have the highest droid prices in this universe.","השובר הזה נותן לך 20% הנחה ברובוטים-אר-אס הקרוב אליך! כמה מועיל! לטמבלים האלה יש את מחירי הרובוטים הגבוהים ביותר ביקום.",""
"0.0","string_78","In the pocket of this ugly outfit is a Sarien ID card. The name on the card is Butston Freem. You wonder if this is a common Sarien name (and if it is, you're glad you're not Sarien).","בכיס של התחפושת המכוערת הזאת יש תעודת זהות סאריינית. השם על הכרטיס הוא ישבנאבן פרים. אתה תוהה אם זה שם סארייני נפוץ (ואם כן, אתה שמח שאתה לא סארייני).",""
"0.0","string_79","Restore","שחזר",""
"0.0","string_80","Restart","אתחל",""
"0.0","string_81","Quit","צא",""
"0.0","string_82","Space Quest I - The Sarien Encounter","מסע בחלל 1 - המפגש הסארייני",""
"0.0","string_84","Enter drive & directory for new response log...","",""
"0.0","string_85","newresp.log","",""
"0.0","string_86","Default Response","",""
"0.0","string_87","(switch theItem (%d","",""
"0.0","string_88","","",""
"0.0","string_89","verbUse","",""
"0.0","string_90","verbLook","",""
"0.0","string_91","verbDo","",""
"0.0","string_92","verbTalk","",""
"0.0","string_93","verbSmell","",""
"0.0","string_94","verbTaste","",""
"0.0","string_95","(Print","",""
"0.0","string_96","""","",""
"0.0","string_97","doVerb message:","",""
"0.0","string_98","""","",""
"0.0","string_99",")","",""
"0.0","string_100",")","",""
"0.0","string_101","","",""
"0.0","string_102","","",""
"0.0","string_103","This icon is for walking.","הצלמית הזו היא להליכה.",""
"0.0","string_105","This icon is for looking.","הצלמית הזו היא להסתכלות.",""
"0.0","string_107","This icon is for doing.","הצלמית הזו היא לעשייה.",""
"0.0","string_109","This icon is for talking.","הצלמית הזו היא לדיבור.",""
"0.0","string_111","This window displays the current inventory item.","החלון הזה מציג את פריט המלאי הנוכחי.",""
"0.0","string_113","This icon brings up the inventory window.","הצלמית הזו מעלה את חלון המלאי.",""
"0.0","string_115","This icon is for smelling.","הצלמית הזו היא להרחה.",""
"0.0","string_117","This icon is for tasting.","הצלמית הזו היא לטעימה.",""
"0.0","string_119","This icon brings up the control panel.","הצלמית הזו מעלה את לוח הבקרה.",""
"0.0","string_121","This icon tells you about other icons.","הצלמית הזו מסבירה על צלמיות אחרות.",""
"0.0","string_128","Raises and lowers the level of graphics detail.","מעלה ומורידה את רמת הפירוט של הגרפיקה.",""
"0.0","string_130","Adjusts sound volume.","מתאימה את עוצמת הקול.",""
"0.0","string_132","Adjusts the speed of the your character's animation (within the limits of your computer's capability).","מתאימה את מהירות אנימציית הדמות שלך (במגבלות יכולות המחשב שלך).",""
"0.0","string_134","Saves your current game.","שומרת את המשחק הנוכחי שלך.",""
"0.0","string_136","Restores a previously saved game.","משחזרת משחק שנשמר.",""
"0.0","string_138","Restarts the Game.","מאתחלת את המשחק.",""
"0.0","string_140","Exits the game.","יוצאת מהמשחק.",""
"0.0","string_142","Information about the game.","מידע על המשחק.",""
"0.0","string_145","Exits this menu.","יוצאת מהתפריט הזה.",""
